session_id,not_skipped,euclidLastPlay,euclidLastSkip,manLastPlay,manLastSkip,eucAvPlay,eucAvSkip,angleAvPlay,angleAvSkip,prevSongPlayed,neighborSkipped
0_00006f66-33e5-4de7-a324-2d18e439fc1e,False,103.99750919728768,110.7824613079913,120.9785030661019,165.96862976353387,71.58862078067864,88.93494551580015,0.034853411832304844,0.04330764920735088,False,True
0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a,False,300.97220122047594,142.2744208002805,358.9667609061988,208.49719172250647,185.27816351594188,33.075942236418285,0.0878351515356164,0.01408704011129598,True,False
0_00016a3d-9076-4f67-918f-f29e3ce160dc,False,99.66915988852405,31.470345722067176,146.8151683522346,61.73417904311411,89.75148982472739,34.82286418175182,0.04410393630712305,0.017101564153630223,False,False
0_00018b58-deb8-4f98-ac5e-d7e01b346130,False,45.49830590048837,42.27050338371483,73.15133802698055,71.63992885018614,32.008613860905704,37.0888887544323,0.01487593356048128,0.017561871151505443,False,False
0_00027db1-ffe5-4b00-8eeb-8d8188451298,True,23.234417256338084,29.672657141875636,40.06567335377986,46.771117312401174,32.169491059834506,17.229055143335245,0.015774685936331422,0.00843040133469723,True,False
0_00029482-6542-4d3e-bb9e-ffc988f58bd6,True,50.15019502341862,71.44294130325761,76.35490071261941,107.35567832963967,32.4630122772696,32.87194654020974,0.015955193748001528,0.01616491664773658,True,False
0_0002fbb5-29c2-4d54-9636-e6d15e77b58c,True,21.614986838994085,82.1652752399129,41.51991559429733,111.5978103005812,11.198690192265648,35.233035016719434,0.005489723286745088,0.01732345663788102,False,True
0_00030fe3-298d-4930-8534-fc5a9b82971b,True,68.44011371462196,34.07884923629042,97.66719032983887,61.39715580600064,40.601477102131405,34.07884923629042,0.019988040430168046,0.01677189495350641,True,True
0_0003ac37-c70a-47a6-b9dc-b8b163826082,False,68.8906382861507,34.10191532859044,117.24636786303087,61.70902458984624,15.571602291567714,49.699974819752676,0.0076494650348241594,0.024418206359517743,False,True
0_0003e8a0-ea43-47fe-ac5a-8b502f4d38ef,False,96.38984655401475,17.258490111607635,109.23062387892486,34.39002802659098,85.85639547657522,58.631097333692686,0.041537840210848706,0.028354836520293466,False,False
0_00041f88-6d8a-49ca-9a03-d0cfdbbafe5e,False,-1.0,41.898384762279896,-1.0,82.74193051732193,-1.0,45.00925351812346,-1.0,0.02121706846223578,False,True
0_00052b3c-a5f9-4b04-90ef-6378777d89d8,False,28.552622310756618,91.54126382386237,45.58380912296373,132.3272591167157,39.513583940258485,41.29068823548183,0.019323643390209245,0.020219444010480928,False,False
0_00054512-7872-45c0-aaec-7b790f698a4f,False,-1.0,21.78749247603615,-1.0,45.97122223026993,-1.0,16.475516709760985,-1.0,0.0077361152259786785,False,True
0_0005a7a1-196e-4e08-8928-39b9a3ca2e1a,False,20.99975575201134,73.27765960758106,44.93488543511235,117.74236069114787,41.290287065257736,33.04494315317791,0.019558819991372402,0.015687512556301055,False,False
0_000641b5-a2ce-4803-bdeb-499c548ba50d,False,84.17185388971377,48.3060947999,145.80528335300497,96.35683394404651,47.26202059708746,76.93198037592308,0.023296986269619083,0.037916645931616366,False,True
0_00064a92-1353-417a-82e2-6f5e361bebff,False,61.38048315493816,48.88444723280462,106.29138110024597,89.19827085807424,61.38048315493816,58.86632272890186,0.02860413974750883,0.02840516610262084,True,False
0_0006bfe8-8afe-45c2-a423-00a348b775c4,False,-1.0,206.5654830061451,-1.0,270.4501157174516,-1.0,28.822836685192527,-1.0,0.0141290945141879,False,True
0_0006f5f8-bd71-4d75-9cd2-6320f2e4df8e,False,65.82288110954384,29.640447517264427,113.89770663631313,42.88672318421484,31.31750439688916,58.6823253462679,0.015380276817997595,0.028833599832567187,False,False
0_00070b9a-c9da-404f-81d0-c22f4f79b933,True,39.8381670771627,73.00656546207658,71.25879941050933,110.35431296701387,46.70632154108623,51.26886190868608,0.022921415972140147,0.025190260938612763,True,False
0_00074d75-33c6-40b3-99e1-a88e9d015e42,False,59.37083116902823,95.22008850726932,95.66576892374525,131.0469830636655,69.9904170737888,69.70380558220732,0.03426372412394534,0.034085260844748756,True,False
0_00076eea-e6d9-4a1a-ad1a-dd083fd05a96,False,232.3919296973284,117.29842156904922,291.7187750633817,180.04162224360698,225.419213811094,181.5155522816031,0.10894868012498832,0.08770724172005159,False,False
0_000796fd-ee8a-4211-a0a9-662154cb905d,True,126.39196240170102,199.11352451260515,187.06429338624952,277.51654867270014,130.39277340740483,162.38818716420786,0.06321619616797908,0.07854713151129858,True,True
0_0007cd53-3aa5-49ba-9473-319d5d7b2534,True,181.65693391120504,62.4036433924425,234.94591126795603,89.36574035697377,21.79243982523988,82.60768407675963,0.010676022245235256,0.040623873082936766,True,True
